probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
ILMN_1704294	-2.0959535205	7.70229141	-26.5477233094952	6.04632333535579e-10	3.93481286390877e-08	13.5239171530571	CDH3
ILMN_1761910	3.33752520908333	6.796103051	26.5268617372959	6.08929406274928e-10	3.94491238835695e-08	13.5164243329432	BDNF
ILMN_1657823	2.65913318191667	6.62520183071429	26.5190996627873	6.1053687220859e-10	3.94491238835695e-08	13.5136348393511	PMEPA1
ILMN_1807503	-1.89927406541667	9.58759869071429	-26.5106863928598	6.12284509674535e-10	3.94491238835695e-08	13.5106103412456	CPA2
ILMN_1690454	-2.16657062791667	9.73371335785714	-26.5091235247832	6.12609765072817e-10	3.94491238835695e-08	13.510048391152	C3orf54
ILMN_2103761	1.878824346	6.743078022	26.507075500785	6.13036278374071e-10	3.94491238835695e-08	13.5093119434026	TLE4
ILMN_2349982	2.43380409625	7.90428186885714	26.5011760930156	6.1426670619456e-10	3.94491238835695e-08	13.507190240423	FGF1
ILMN_1771801	2.53342958958333	7.65927431385714	26.4590725317234	6.23128061283965e-10	3.98247974150056e-08	13.4920332259162	SIRPG
ILMN_1691881	2.60676320241666	7.07492001114286	26.4556970301037	6.23844600507478e-10	3.98247974150056e-08	13.4908169561528	IL4R
ILMN_1748529	-1.736088978	8.07164479942857	-26.454042867515	6.24196073535515e-10	3.98247974150056e-08	13.4902208636106	RLN2
ILMN_2367883	2.17104367033333	10.9188547827143	26.431895242466	6.28923158907392e-10	4.00391624100064e-08	13.4822359449565	GEM
ILMN_1677511	2.36579044366666	7.68896050085714	26.3787357672423	6.40432020302715e-10	4.06834093591432e-08	13.4630412092103	PTGS2
ILMN_2130525	2.079243162	10.9486970577143	26.3575548113384	6.45082506419912e-10	4.08901324686301e-08	13.4553817665491	TSPAN13
ILMN_1754103	1.85018857533333	10.3070032291429	26.329819734447	6.51228705787882e-10	4.11905672764539e-08	13.4453423312196	CLDN11
ILMN_1751785	1.75348289775	6.37841680128571	26.3212652563898	6.53137486888998e-10	4.12222657403972e-08	13.4422435470503	DMRT2
ILMN_1774207	-2.07414679625	9.92049336928571	-26.2808597910753	6.62237472499177e-10	4.17067191013729e-08	13.4275925486143	ANGPT2
ILMN_1799028	3.92179066266667	9.69954961314286	26.2493520349199	6.69431090734877e-10	4.20692907557315e-08	13.4161512434692	TSPAN5
ILMN_1669335	2.807493033	8.77823283114286	26.2084283314789	6.78904115898049e-10	4.25732484669687e-08	13.401268968867	RUNX1
ILMN_1801710	2.65270720458333	8.424737876	26.1921786498965	6.82706727864359e-10	4.27202276186063e-08	13.3953527819713	APBB1IP
ILMN_1715885	2.185505619	7.48123468371429	26.0744581389859	7.10970223271445e-10	4.4339249446979e-08	13.3523764281761	PTPN22
ILMN_1755392	-2.5730777465	7.73598668914286	-26.0718609297768	7.1160823766707e-10	4.4339249446979e-08	13.3514259434142	HERV-FRD
ILMN_2382942	2.46824374058333	5.90023345828571	26.061174670991	7.14240043475234e-10	4.44087466521703e-08	13.3475141020772	CA12
